PO_ID,PO_LINE_ID,SUPPLIER_ID,ITEM_ID,CUSTOMER_ID,WAREHOUSE_ID,CURRENCY_CODE,ORDER_DATE,EXPECTED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,STATUS,QUANTITY_ORDERED,QUANTITY_RECEIVED,UNIT_PRICE_ORIG,UNIT_COST_ORIG,TOTAL_AMOUNT_ORIG,DISCOUNT_PCT,PAYMENT_STATUS,INVOICE_NUMBER,NOTES
PO003372,POL003372,SUP025,ITM0059,CUST0048,WH005,MXN,2024-02-24,2024-03-12,2024-03-20,DELIVERED,232,121,4139.53,2356.22,960370.96,4.77,PAID,INV119365,Partial shipment
PO003673,POL003673,SUP047,ITM0031,CUST0028,WH019,GBP,2024-02-03,2024-02-09,,APPROVED,126,73,898.57,685.99,113219.82,12.75,UNPAID,INV851543,Quality issue
PO005948,POL005948,SUP003,ITM0101,CUST0083,WH004,GBP,2022-02-27,2022-03-31,2022-04-06,PARTIALLY_DELIVERED,410,99,2255.01,1295.73,924554.1,5.98,PAID,INV894551,Quality issue
PO016973,POL016973,SUP015,ITM0096,CUST0009,WH018,CAD,2022-05-21,2022-07-05,2022-07-14,PENDING,306,0,493.73,321.52,151081.38,14.07,PARTIAL,INV600552,Quality issue
PO004044,POL004044,SUP009,ITM0126,CUST0061,WH002,AUD,2024-03-02,2024-04-23,,CANCELLED,147,62,4691.36,2442.35,689629.92,18.92,UNPAID,INV810746,
PO014235,POL014235,SUP029,ITM0038,CUST0056,WH017,GBP,2023-11-06,2023-12-07,2023-12-15,APPROVED,311,133,3423.34,2651.42,1064658.74,4.94,OVERDUE,INV233776,Quality issue
PO004147,POL004147,SUP004,ITM0022,CUST0076,WH005,MXN,2024-09-27,2024-10-28,2024-11-01,PARTIALLY_DELIVERED,310,130,933.99,514.87,289536.9,13.06,OVERDUE,INV472259,Quality issue
PO001728,POL001728,SUP015,ITM0059,CUST0032,WH009,MXN,2023-02-24,2023-03-12,,SHIPPED,50,50,4054.82,2858.88,202741.0,11.61,OVERDUE,INV272624,Quality issue
PO001424,POL001424,SUP007,ITM0110,CUST0036,WH020,INR,2023-07-22,2023-08-13,,PARTIALLY_DELIVERED,310,277,3904.86,2349.62,1210506.6,3.56,UNPAID,INV642480,
PO015267,POL015267,SUP006,ITM0046,CUST0096,WH006,MXN,2023-01-19,2023-03-20,,SHIPPED,95,89,2894.93,1985.62,275018.35,15.39,PARTIAL,INV674198,
