SHIPMENT_ID,SHIPMENT_LINE_ID,PO_ID,SUPPLIER_ID,WAREHOUSE_ID,ITEM_ID,SHIPMENT_DATE,EXPECTED_ARRIVAL_DATE,ACTUAL_ARRIVAL_DATE,QUANTITY_SHIPPED,QUANTITY_DAMAGED,CARRIER,TRACKING_NUMBER,SHIPMENT_STATUS,FREIGHT_COST_USD
SHP004195,SHPL004195,PO014963,SUP016,WH001,ITM0082,2024-03-24,2024-04-11,2024-03-29,188,16,BlueDart,TRK8045147,IN_TRANSIT,3259.81
SHP003082,SHPL003082,PO018343,SUP020,WH002,ITM0138,2024-10-19,2024-10-24,2024-10-28,38,1,UPS,TRK9933441,DELIVERED,751.97
SHP003152,SHPL003152,PO018456,SUP046,WH013,ITM0044,2022-05-28,2022-06-11,2022-06-27,164,4,Aramex,TRK8476206,DELAYED,4986.62
SHP002026,SHPL002026,PO000991,SUP001,WH009,ITM0057,2022-12-02,2022-12-07,2022-12-18,90,4,DHL,TRK8710249,LOST,1409.95
SHP002885,SHPL002885,PO000096,SUP024,WH003,ITM0106,2024-06-09,2024-07-03,2024-07-08,24,0,FedEx,TRK3087322,IN_TRANSIT,3167.05
SHP003065,SHPL003065,PO017309,SUP029,WH012,ITM0123,2023-11-26,2023-12-09,2023-12-22,77,5,FedEx,TRK9624706,DELAYED,1217.35
SHP000795,SHPL000795,PO017865,SUP024,WH012,ITM0082,2024-11-30,2024-12-20,2024-12-29,117,4,DHL,TRK5094610,DELAYED,619.2
SHP004005,SHPL004005,PO007558,SUP021,WH007,ITM0116,2024-11-04,2024-11-24,2024-11-10,122,11,UPS,TRK7413529,LOST,3843.06
SHP003788,SHPL003788,PO014829,SUP040,WH007,ITM0044,2022-01-26,2022-02-12,2022-02-12,101,7,Aramex,TRK6826667,RETURNED,3235.29
SHP000102,SHPL000102,PO013659,SUP014,WH020,ITM0040,2024-11-07,2024-11-18,2024-12-04,194,7,DHL,TRK9029058,DELIVERED,1149.27
SHP001714,SHPL001714,PO009739,SUP047,WH016,ITM0129,2023-06-27,2023-07-14,2023-07-05,186,7,,TRK4890542,,361.26
SHP002426,SHPL002426,PO000112,SUP033,WH009,ITM0101,2024-09-29,2024-10-02,2024-10-04,10,0,BlueDart,TRK2472841,DELAYED,967.06
SHP003435,SHPL003435,PO004539,SUP047,WH002,ITM0072,2023-05-24,2023-06-09,2023-06-14,80,5,FedEx,TRK4601230,LOST,538.37
SHP000552,SHPL000552,PO009838,SUP040,WH016,ITM0076,2024-04-02,2024-04-03,2024-04-11,153,8,UPS,TRK1616971,RETURNED,
SHP004428,SHPL004428,PO003048,SUP021,WH012,ITM0141,2024-03-20,2024-04-08,2024-04-19,194,13,Aramex,TRK7490735,LOST,3857.48
SHP004244,SHPL004244,PO018396,SUP008,WH006,ITM0041,2022-03-10,2022-03-14,2022-03-15,76,0,Aramex,TRK6152449,DELAYED,3124.33
SHP000880,SHPL000880,PO019232,SUP043,WH019,ITM0148,2023-01-25,2023-01-30,2023-02-12,134,5,Aramex,TRK5790173,DELAYED,594.84
SHP004884,SHPL004884,PO016702,SUP047,WH007,ITM0133,2023-12-01,2023-12-11,2023-12-15,57,5,INVALID,TRK9826279,DELAYED,4649.67
SHP003307,SHPL003307,PO017208,SUP045,WH014,ITM0108,2023-03-17,2023-03-31,2023-04-04,143,5,BlueDart,TRK2441141,DELIVERED,2022.31
SHP003346,SHPL003346,PO010692,SUP040,WH017,ITM0021,2023-04-11,2023-05-03,2023-05-03,7,0,FedEx,TRK7943451,LOST,2812.62
SHP003162,SHPL003162,PO004432,SUP028,WH017,ITM0149,2024-12-24,2025-01-18,2025-01-19,93,8,UPS,,DELAYED,3930.02
SHP002109,SHPL002109,PO019323,SUP002,WH018,ITM0025,2022-08-19,2022-08-27,2022-09-03,175,8,Aramex,TRK4560015,IN_TRANSIT,1601.64
SHP002151,SHPL002151,PO006678,SUP027,WH006,ITM0081,2022-06-18,2022-07-11,2022-07-07,54,2,Aramex,TRK8245951,RETURNED,3601.6
SHP002637,SHPL002637,PO007162,SUP038,WH011,ITM0002,2022-05-30,2022-06-07,2022-06-11,54,4,UPS,TRK4560177,DELAYED,2438.33
SHP001553,SHPL001553,PO001329,SUP003,WH013,ITM0073,2022-09-24,2022-10-01,2022-10-19,149,6,UPS,TRK1175103,IN_TRANSIT,3308.8
SHP002591,SHPL002591,PO002759,SUP015,WH005,ITM0041,2023-06-13,2023-06-23,2023-06-26,118,0,UPS,TRK6563250,DELIVERED,1125.45
SHP002040,SHPL002040,PO015267,SUP047,WH018,ITM0118,2023-05-09,2023-06-01,2023-05-24,184,18,FedEx,TRK8341625,IN_TRANSIT,4205.06
SHP002849,SHPL002849,PO018221,SUP046,WH019,ITM0147,2022-05-09,2022-05-24,2022-05-22,127,7,UPS,TRK6258083,DELIVERED,2903.52
SHP002819,SHPL002819,PO015680,SUP009,WH001,ITM0029,2023-06-10,2023-06-25,2023-06-13,118,9,FedEx,TRK5466671,DELAYED,3851.39
SHP002086,SHPL002086,PO013231,SUP048,WH013,ITM0009,2022-10-11,2022-10-12,2022-11-03,96,0,FedEx,TRK9266529,DELIVERED,4229.1
SHP002208,SHPL002208,PO014603,SUP045,WH011,ITM0124,2022-10-15,2022-11-09,2022-10-18,91,1,BlueDart,TRK1540539,DELAYED,2877.5
SHP001010,SHPL001010,PO010003,SUP030,WH001,ITM0034,2024-09-23,2024-10-01,2024-10-16,83,8,UPS,TRK6539334,DELAYED,1586.36
SHP004768,SHPL004768,PO000730,SUP030,WH011,ITM0047,2023-12-12,2023-12-30,2023-12-18,15,1,FedEx,TRK3054424,IN_TRANSIT,1738.7
SHP001523,SHPL001523,PO011736,SUP026,WH003,ITM0012,2022-04-07,2022-04-19,2022-04-11,175,13,FedEx,TRK8800141,DELIVERED,2503.55
SHP001230,SHPL001230,PO007151,SUP010,WH009,ITM0027,2022-10-03,2022-10-22,2022-10-12,17,1,UPS,TRK8815065,IN_TRANSIT,4399.88
SHP003719,SHPL003719,PO011268,SUP022,WH007,ITM0075,2024-05-20,2024-05-26,2024-06-09,110,4,BlueDart,TRK1875271,DELAYED,3285.13
SHP003220,SHPL003220,PO016571,SUP045,WH010,ITM0012,2022-08-11,2022-08-13,2022-09-02,153,6,UPS,TRK9309635,DELIVERED,4285.0
