CUSTOMER_ID,CUSTOMER_NAME,REGION,COUNTRY,CUSTOMER_TYPE,CREDIT_LIMIT_USD,PAYMENT_TERMS,IS_ACTIVE,ONBOARDING_DATE,CONTACT_EMAIL
CUST0001,Customer 1 Ltd,APJ,India,SME,233444.73,NET60,N,2021-09-12,cust1@company.com
CUST0002,Customer 2 Ltd,APJ,India,SME,363874.43,NET45,Y,2020-10-25,cust2@company.com
CUST0003,Customer 3 Ltd,EMEA,Germany,Retailer,459843.93,NET30,Y,2021-06-23,cust3@company.com
CUST0004,Customer 4 Ltd,NAM,Canada,Government,234908.9,NET60,Y,2019-09-07,cust4@company.com
CUST0005,,APJ,India,Retailer,208586.37,NET45,Y,2021-07-28,
CUST0006,Customer 6 Ltd,APJ,Japan,SME,488891.32,NET60,Y,2019-04-16,cust6@company.com
CUST0007,Customer 7 Ltd,EMEA,Germany,Retailer,345370.08,NET60,Y,2019-01-03,cust7@company.com
CUST0008,,NAM,Mexico,Government,465148.72,NET60,Y,2021-03-06,cust8@company.com
CUST0009,Customer 9 Ltd,NAM,Canada,Wholesaler,397344.06,NET30,Y,2018-04-20,cust9@company.com
CUST0010,Customer 10 Ltd,APJ,Australia,SME,204384.49,NET30,Y,2020-07-11,cust10@company.com
CUST0011,Customer 11 Ltd,NAM,USA,SME,333729.23,NET60,Y,2019-05-20,cust11@company.com
CUST0012,Customer 12 Ltd,APJ,Australia,Wholesaler,372431.09,NET30,Y,2018-01-11,cust12@company.com
CUST0013,Customer 13 Ltd,NAM,USA,Retailer,-500,NET60,N,2018-07-31,
CUST0014,Customer 14 Ltd,EMEA,UK,Government,16046.9,NET30,Y,2021-03-17,cust14@company.com
CUST0015,Customer 15 Ltd,EMEA,UK,Manufacturer,251630.73,NET45,Y,2020-05-12,cust15@company.com
CUST0016,Customer 16 Ltd,APJ,Australia,Government,300965.14,NET30,Y,2019-09-16,
CUST0017,Customer 17 Ltd,NAM,Canada,Government,174020.75,NET60,Y,2019-09-08,cust17@company.com
CUST0018,Customer 18 Ltd,EMEA,UK,Manufacturer,152809.59,NET45,Y,2019-10-30,cust18@company.com
CUST0019,Customer 19 Ltd,NAM,USA,SME,498659.81,NET60,Y,2020-08-03,cust19@company.com
CUST0020,Customer 20 Ltd,APJ,Australia,Retailer,411293.13,NET45,N,2018-10-13,cust20@company.com
CUST0021,Customer 21 Ltd,APJ,Japan,Government,46242.92,NET45,N,2020-12-30,cust21@company.com
CUST0022,Customer 22 Ltd,,France,SME,300971.77,NET30,Y,2021-09-08,cust22@company.com
CUST0023,Customer 23 Ltd,INVALID,Australia,Government,483737.46,NET45,Y,2018-01-22,cust23@company.com
CUST0024,Customer 24 Ltd,APJ,Australia,SME,118305.55,NET45,Y,2019-12-08,cust24@company.com
CUST0025,Customer 25 Ltd,NAM,USA,Retailer,417345.69,NET45,Y,2019-12-04,cust25@company.com
