ITEM_ID,ITEM_NAME,CATEGORY,SUBCATEGORY,UOM,UNIT_COST_USD,LEAD_TIME_DAYS,IS_ACTIVE,ITEM_TYPE,REORDER_POINT
ITM0001,Office Supplies Item 1,Office Supplies,Premium,SET,3560.65,2,Y,Spare Parts,123
ITM0002,Raw Materials Item 2,Raw Materials,Premium,MTR,2656.96,48,Y,Spare Parts,369
ITM0003,Packaging Item 3,Packaging,Type-B,LTR,602.18,49,Y,Finished Goods,120
ITM0004,Packaging Item 4,Packaging,Standard,KG,,24,Y,Spare Parts,17
ITM0005,Raw Materials Item 5,Raw Materials,Standard,SET,4720.73,49,N,Finished Goods,
ITM0006,Office Supplies Item 6,Office Supplies,Type-A,LTR,4705.61,53,Y,Spare Parts,261
ITM0007,Chemicals Item 7,Chemicals,Standard,KG,4969.62,49,N,Raw Material,315
ITM0008,,Raw Materials,Premium,LTR,4301.53,20,Y,Raw Material,388
ITM0009,Logistics Item 9,Logistics,Type-A,PCS,1203.13,11,Y,Spare Parts,240
ITM0010,Office Supplies Item 10,Office Supplies,Standard,SET,4298.74,15,Y,Raw Material,311
ITM0011,Raw Materials Item 11,Raw Materials,Type-B,LTR,4134.02,11,Y,Raw Material,393
ITM0012,Packaging Item 12,Packaging,Standard,SET,2015.53,35,N,Spare Parts,51
ITM0013,Office Supplies Item 13,Office Supplies,Type-A,KG,1148.48,56,Y,Raw Material,430
ITM0014,Electronics Item 14,Electronics,Premium,LTR,911.54,41,N,Finished Goods,250
ITM0015,Packaging Item 15,Packaging,Type-B,LTR,2061.17,43,N,Raw Material,28
ITM0016,Packaging Item 16,Packaging,Premium,MTR,INVALID,30,N,Finished Goods,106
ITM0017,Machinery Item 17,Machinery,Type-A,PCS,1338.95,19,N,Raw Material,258
ITM0018,Chemicals Item 18,Chemicals,Type-B,LTR,2756.44,6,Y,Finished Goods,246
ITM0019,Chemicals Item 19,Chemicals,Standard,MTR,3528.53,31,N,Finished Goods,243
ITM0020,Office Supplies Item 20,Office Supplies,Type-B,KG,1384.86,27,Y,Raw Material,146
ITM0021,Packaging Item 21,,Premium,PCS,2235.5,22,N,Spare Parts,487
ITM0022,Raw Materials Item 22,Raw Materials,Premium,PCS,4280.78,21,N,Raw Material,477
ITM0023,Office Supplies Item 23,Office Supplies,Type-B,BOX,4824.3,38,Y,Finished Goods,457
ITM0024,Electronics Item 24,Electronics,Type-B,BOX,4355.31,5,N,Spare Parts,183
ITM0025,Office Supplies Item 25,Office Supplies,Premium,LTR,3135.86,32,Y,Raw Material,45
ITM0026,Chemicals Item 26,Chemicals,Type-A,BOX,4891.8,46,Y,Spare Parts,95
ITM0027,,Electronics,Standard,BOX,732.12,37,Y,Finished Goods,99
ITM0028,Logistics Item 28,Logistics,Premium,MTR,719.87,17,N,Spare Parts,
ITM0029,Packaging Item 29,Packaging,Premium,LTR,4938.32,28,Y,Spare Parts,442
ITM0030,Office Supplies Item 30,Office Supplies,Premium,MTR,1798.0,45,Y,Finished Goods,434
ITM0031,INVALID,Packaging,Type-A,MTR,3727.13,58,Y,Finished Goods,320
ITM0032,Raw Materials Item 32,Raw Materials,Type-B,SET,490.33,3,Y,Spare Parts,27
ITM0033,Chemicals Item 33,Chemicals,Standard,SET,2080.44,51,Y,Raw Material,266
ITM0034,Logistics Item 34,Logistics,Premium,LTR,3734.06,8,N,Finished Goods,82
ITM0035,Raw Materials Item 35,Raw Materials,Premium,MTR,1832.05,1,Y,Raw Material,73
ITM0036,Chemicals Item 36,Chemicals,Premium,SET,4701.76,15,N,Finished Goods,327
ITM0037,Machinery Item 37,Machinery,Type-A,SET,4120.16,20,N,Finished Goods,
ITM0038,Packaging Item 38,Packaging,Type-B,MTR,682.64,43,N,Raw Material,390
ITM0039,Office Supplies Item 39,Office Supplies,Premium,LTR,168.42,29,N,Finished Goods,447
ITM0040,Chemicals Item 40,Chemicals,Standard,KG,1993.71,8,N,Finished Goods,349
